Material,Product Description,Current Code,Plant,Last Filed
SKU-1000,"In your letter dated February 7, 2024, you requested a ruling on the status of a women’s crop top and leggings from Colombia under the CTPA.  Your samples will not be returned to you.

Style 344-L is a women’s crop top constructed from 86 percent nylon, 14 percent spandex finely knit fabric.  The tight-fitting sleeveless garment extends from the shoulders to above the waist, and features a boat neckline, straight back, overlock stitching at the front and back and a 2-inch elasticized bottom.  The garment provides sufficient bust coverage.

Style 168 is a pair of women’s legging-styled pants constructed from 86 percent nylon, 14 percent spandex finely, knit fabric.  The tight-fitting pull-on pants extend from the waist to the ankles and features a 5-inch elasticized waistband, side pockets, overlock stitching at the back seams, sides, waist and gusset and hemmed leg openings.",610463,plant-a,2021-11-02
SKU-1001,"In your letter dated July 1, 2025, you requested a tariff classification ruling on behalf of your client, AgaMatrix, Inc. The items in consideration are AgaMatrix Presto Blood Glucose Test Strip (Part # 8000-10430), AgaMatrix Jazz Blood Glucose Test Strip (Part # 8000-10431), CareSens S Blood Glucose Test Strip (Part # 8000-10974), AgaMatrix AMP Test Strip (Part # 8000-04036), and CVS Health Advanced Glucose Meter Test Strip (Part # 8000-10736). They are made of different layers and one layer contains a chemical mixture (a reagent). They are designed solely for use by persons with diabetes to monitor their blood glucose levels. The blood glucose test strip is designed to be inserted into a blood glucose meter. The user applies a small sample of blood obtained using a lancing device to the test strip. Glucose in the blood sample reacts with the chemical mixture on the test strip. This yields a small electrical current. The blood glucose meter measures this current. It then shows the blood glucose result proportional to the current. Based on the complete chemical breakdown of the above blood glucose test strips, the chemical mixtures do not contain antigens or antisera.",300214,plant-a,2021-11-02
SKU-1002,"In your letter dated May 14, 2025, you requested a tariff classification ruling on brackets from Japan. Technical information was submitted with your request. The items under consideration are described as brackets of steel or aluminum used to attach, fix, fit, connect, protect, bind, or stabilize separate articles in semiconductor manufacturing equipment. In your request, you identify five distinct bracket types for consideration: 1) Stainless steel brackets to secure cables from interfering with the mechanical movement of the wafer prober system. 2) Steel brackets to support the front access door of the wafer prober system. 3) Steel brackets that allow a user to affix/screw a touch screen monitor to a monitor stand. 4) Steel brackets to secure/affix the main stage frame of the wafer probing system. 5) Aluminum brackets used to adjust the clamp sensor position in testing equipment. You propose classification for all four items in subheading 8302.50.0000, Harmonized Tariff Schedule of the United States (HTSUS). We disagree. The Explanatory Notes to the Harmonized Commodity Description and Coding System (ENs) represent the official interpretation of the Harmonized System at the international level. While neither legally binding nor dispositive, the ENs provide a commentary on the scope of each heading of the HTSUS and are generally indicative of the proper interpretation of thes",732690,plant-a,2021-11-02
SKU-1003,"In your letter dated December 29, 2023, you requested a tariff classification ruling on behalf of your client, California Costume, Inc.

You submitted a sample of a child size costume identified as the Bone Chilling Reaper, item number 3124-067. The costume consists of a long sleeved, hooded pullover robe, mask, and plastic chest piece. General Rule of Interpretation 3(b) is applicable when goods are, prima facie, classifiable under two or more headings, and have been put up in sets for retail sale. GRI 3(b) states that the goods “shall be classified as if they consisted of the material or component which gives them their essential character.” The flimsy man-made knitted textile robe imparts the essential character of the set and features raw, unfinished, edges on the hood, deep back opening and faux front opening. The deep back opening is closed with a single small tab of hook and loop fastener.  The neck, long sleeves and bottom hem have raw, jagged cut edges. The garment is constructed with long, loose straight stitching.",950590,plant-a,2021-11-02
SKU-1004,"In your letter dated June 17, 2025, you requested a tariff classification ruling. Your samples will be returned to you as requested. Style A is a women’s blouse constructed from 100 percent cotton jersey knit fabric that measures at least 10 or more stitches per linear centimeter measured in both directions. The loose-fitting garment extends from the shoulders to below the waist and features a rib-knit crew neckline, contrasting color letters located on the upper front panel, short, hemmed sleeves, and a hemmed bottom. Style B is a women’s blouse constructed from 100 percent cotton jersey knit fabric that measures at least 10 or more stitches per linear centimeter measured in both directions. The loose-fitting garment extends from the shoulders to below the waist and features a rib-knit crew neckline, a contrasting color logo on the upper portion of the front panel, short, hemmed sleeves, and a hemmed bottom. In your ruling request you suggest classification of style A under heading 6109, Harmonized Tariff Schedule of the United States (HTSUS), and style B under heading 6110, HTSUS. However, by application of GRI 1 and 6, the appearance of the garments, and the definition in accordance with the reasoning set forth in Headquarters Rulings H325360 and H324935, dated May 22, 2022, we find that style A and B are loose-fitting blouses of heading 6106, HTSUS. Styles A and B have char",610610,plant-a,2021-11-02
SKU-1005,"In your letter dated March 12, 2026, you requested a tariff classification and country of origin ruling for the purpose of marking on behalf of your client, Transtex LLC. You also inquire whether the unit is eligible for duty free treatment under the United States-Mexico-Canada Agreement (USMCA). The product at issue is referred to as a DClimate Truck AC Unit, part number 910016-01- HC7000U Espar RH. The unit is designed to be installed in heavy trucks for the purpose of changing temperature and humidity levels within the cabin of the truck. The unit primarily consists of a housing that features a top cover, base and an evaporator coil, a compressor, a compressor driver, a converter assembly and a condenser shroud assembly with a blower. The unit is imported packaged with a duct kit and a heater.",841520,plant-a,2021-11-02
SKU-1006,"In your letter, dated January 28, 2025, you requested a tariff classification ruling.  Photos and a product description were provided for our review in lieu of a sample.

The subject merchandise is the “161-149 OOLY x Peanuts: Color-in Wooden Scene Kit.”  The kit consists of eight thin (3 mm thick) die-cut wooden “coloring boards” that are pieces of wood shaped and printed to resemble characters from the Peanuts comic strip, a wooden stand, and twelve color markers, all packaged together for retail sale in a colorful cardboard box with handle.  The wooden coloring boards are line-printed on their faces with images of the various characters, Charlie Brown, Lucy, Schroeder, Snoopy, Peppermint Patty,  Linus, Franklin, and Sally.  The purchaser will use the markers to color the characters.  A coloring guide is provided.  After completion, the characters can be displayed together on the wooden stand.

This kit will be regarded as ""goods put up in sets for retail sale"" whose essential character is imparted by the printed elements, GRI 3(b) noted.  The General Explanatory Notes (ENs) to Chapter 49, Harmonized Tariff Schedule of the United States (HTSUS), provide in pertinent part: “… this Chapter covers all printed matter of which the essential nature and use is determined by the fact of its being printed with motifs, characters or pictorial representations...”  Also, per the ENs, the",491191,plant-a,2021-11-02
SKU-1007,"In your letter submitted on December 23, 2025, you requested a tariff classification ruling. Photographs and a detailed description of the merchandise identified as “DDM Climbing Torque Nuts” were submitted with your request. The articles under consideration are the “DDM Climbing Torque Nuts,” which are offered in two styles: “Climbing Torque Nuts” and “Climbing Wired Torque Nuts,” both produced in four sizes. The products are imported and sold both individually and in sets. Each size is distinguished by a specific color to facilitate identification and selection by climbers. The Climbing Torque Nuts are identified by item numbers A1741, A1742, A1743 and A1744. Climbing Wired Torque Nuts are identified by item numbers A1751, A1752, A1753 and A1754. The last numerical digit of each item number represents the size of the article. Both styles are passive protection hardware components designed for use in mountaineering, rock climbing, and other recreational climbing activities. The articles provide temporary protection by being placed into natural rock features, where they resist load and help arrest falls when integrated into a climbing system via a carabiner and rope. Torque nuts work in all weather conditions. They are especially useful in winter, when icy cracks cannot be protected by cams. Wired torque nuts are more resistant to accidental axe strikes and easier to control wh",950699,plant-a,2021-11-02
SKU-1008,"In your letter dated February 18, 2026, you requested a tariff classification ruling. The item under consideration is a Hinterhoeller Nonsuch 30 Ultra (HIN: ZHYN3354C686), a sailboat designed for recreational use. Illustrative literature provided specifies the subject merchandise to be approximately 30 feet in length and hull materials made of fiberglass. The product’s fuel capacity is 25 gallons, the water capacity is 65 gallons, and the holding tank is 30 gallons. The sailboat is equipped with a Westerbeke W27 diesel engine that provides the sailboat with an auxiliary motor for propulsion. Photographs provided depict the subject merchandise being manufactured in St. Catharines, Ontario, Canada. Prior registration indicates the vessel was previously used in U.S. commerce and is being returned to the United States after private ownership transfer from Canada. You identified subheading 8903.91.00, Harmonized Tariff Schedule of the United States (HTSUS), as the applicable classification. This specific subheading does not exist in the United States nomenclature.",890391,plant-a,2021-11-02
SKU-1009,"In your letter dated May 16, 2023, you requested a tariff classification ruling.

A sample was submitted and will be retained as requested.

The product under consideration is described as a “3pc Pumpkin Assortment,” Costco item number 1601309. This decorative item features three pumpkins in different sizes made from molded polyresin, which per the submitted documentation would be considered an artificial stone. The first pumpkin measures 26.5 centimeters by 26.5 centimeters by 28 centimeters, the second is 24 centimeters by 24.5 centimeters by 32.5 centimeters, and the third is 20.1 centimeters by 20.3 centimeters by 19.2 centimeters. Each pumpkin features LED lights that are soldered on to the battery pack, which is affixed to the bottom with glue. The sides of the pumpkins are carved with leaf-shaped openings. We note as light is visible through these openings that the pumpkins utilize this light to enhance their visual appeal. They remain ornamental even when the lights are not in use, and any lighting of the surrounding area, if any, is merely incidental to their use as decorations. They will come in two colors, either white or orange-brown. Lastly, you indicate the stems are molded separately and attached to the body with glue.

You state that you believe these pumpkins are appropriately classified within subheading 6810.99.0080, Harmonized Tariff Schedule of the United S",670290,plant-a,2021-11-02
